mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.5478731791178385,0.02689448092182468,0.008992274602254232,0.0002782706973773574,0.8,0.1,3,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",0.6694444277997922,0.6889885867597361,0.6725540564124082,0.6769956903239788,0.008574754465530363,8
0.49201520284016925,0.015996686210464,0.015548149744669596,0.009644442319536478,0.8,0.1,3,200,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",0.6597044612817252,0.6687298504671382,0.6702856420425771,0.6662399845971468,0.0046647558429401504,20
0.383461872736613,0.03748875001495518,0.014034668604532877,0.008369487686326744,0.8,0.1,5,50,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.8}",0.7088310021012088,0.665674552826712,0.6524452530963598,0.6756502693414269,0.02407591275799559,10
0.3489585717519124,0.02655230817607603,0.008126497268676758,0.0002679791597361653,0.8,0.1,5,50,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 50, 'subsample': 1.0}",0.6898650539210059,0.6599188910026694,0.6428499763511635,0.6642113070916129,0.01943232713178467,22
0.6298878987630209,0.03918784058939967,0.008658170700073242,0.0002875676642692807,0.8,0.1,5,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",0.7067902918952493,0.669055552837893,0.6591077055200536,0.6783178500843986,0.020538579528438187,5
0.5952130158742269,0.0224475592092996,0.008389949798583984,8.858482866353086e-05,0.8,0.1,5,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1.0}",0.6905694377404614,0.6625797339902748,0.6495938950823406,0.6675810222710256,0.017097922629806077,18
1.217903693517049,0.05473690816286812,0.009407361348470053,0.00028125271011120206,0.8,0.1,5,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.8}",0.7042429520220537,0.6644911254071656,0.660506941211851,0.6764136728803568,0.019745379444069323,9
1.1936475435892742,0.09737985050488068,0.009285608927408854,0.00010157887535849815,0.8,0.1,5,200,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200, 'subsample': 1.0}",0.6903873503948272,0.6600221707465656,0.650124783916319,0.6668447683525706,0.01713046882855561,19
0.6346669991811117,0.01606671426965163,0.008931318918863932,0.00026516529028927904,0.8,0.1,7,50,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 50, 'subsample': 0.8}",0.697408892933483,0.6830015425170874,0.645524495440894,0.6753116436304881,0.021868525090592873,11
0.770033041636149,0.06057243999487241,0.01371161142985026,0.0070134713683468585,0.8,0.1,7,50,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 50, 'subsample': 1.0}",0.6922571829190461,0.6580705753999038,0.6143506141996912,0.654892790839547,0.031884500920666,30
1.2891529401143391,0.03837219561972404,0.009189287821451822,0.0005280712052901024,0.8,0.1,7,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100, 'subsample': 0.8}",0.7013717815474246,0.6814916129699501,0.648484886456137,0.6771160936578372,0.021811538155102228,7
1.3396460215250652,0.023935570809546714,0.00969386100769043,0.0005307956186064996,0.8,0.1,7,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100, 'subsample': 1.0}",0.6985927529055636,0.6630924835538556,0.6179262064383613,0.6598704809659268,0.03301069427972084,28
2.4620564778645835,0.16314960497702247,0.01561880111694336,0.008016664573128664,0.8,0.1,7,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200, 'subsample': 0.8}",0.701643583201883,0.681784996482719,0.6485500215256901,0.6773262004034306,0.021903458170243854,6
2.807036876678467,0.34282632328342266,0.009862979253133139,0.0005258479213041294,0.8,0.1,7,200,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200, 'subsample': 1.0}",0.6987691586700064,0.6626981980172308,0.6178950535110248,0.6597874700660874,0.03308080484934509,29
0.14052478472391763,0.009637243706466257,0.007682085037231445,4.122964337980838e-05,0.8,0.3,3,50,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",0.6226439651703717,0.6455675003753798,0.6603412324605109,0.6428508993354208,0.015509264568718916,45
0.13548771540323892,0.001504281820604141,0.008455594380696615,0.0004774828883124155,0.8,0.3,3,50,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 50, 'subsample': 1.0}",0.6616000740000045,0.6555474585409655,0.64186654100435,0.6530046911817734,0.008254385925267288,33
0.2683873971303304,0.018899147839737968,0.008466720581054688,0.00016549077648844927,0.8,0.3,3,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.6263131926431181,0.6387685983435155,0.6561365263060749,0.6404061057642362,0.012230259757603919,51
0.29146766662597656,0.03823286517848649,0.0083924929300944,0.0003330591970119347,0.8,0.3,3,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",0.6618565597738431,0.6474358430006555,0.6464708643661845,0.6519210890468944,0.007036475437119892,35
0.6655232906341553,0.13487185868678375,0.008274157842000326,0.0002123801810177851,0.8,0.3,3,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",0.6290706645964771,0.6381170720842426,0.655633895154982,0.6409405439452339,0.011026643473527508,50
0.5181829134623209,0.10914554818557802,0.008289257685343424,0.000295972913296106,0.8,0.3,3,200,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",0.6596689925760129,0.6461425509898279,0.650183379887796,0.6519983078178789,0.005669310836404782,34
0.3518153826395671,0.06633966757242982,0.009792566299438477,0.0022859639342882165,0.8,0.3,5,50,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.3, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.8}",0.6134183418948844,0.5845251523994075,0.6814604760038343,0.6264679900993754,0.04063524110317272,62
0.30505164464314777,0.006595842340398545,0.008247613906860352,0.0003670297412126663,0.8,0.3,5,50,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.3, 'max_depth': 5, 'n_estimators': 50, 'subsample': 1.0}",0.6379897855354422,0.6255875142173155,0.6562891833880035,0.6399554943802537,0.012610739627093527,53
0.603553851445516,0.0047157775033926765,0.008427699406941732,0.00022855355420855144,0.8,0.3,5,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.3, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",0.6125930844537776,0.5827244800867082,0.6824606484570117,0.6259260709991658,0.04179435542400441,64
0.6691803137461344,0.06387115059767791,0.009134372075398764,0.00048777187423678313,0.8,0.3,5,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.3, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1.0}",0.6374761883000575,0.6236842225148337,0.6561372758709215,0.6390992288952709,0.013298517802460896,54
1.4321985244750977,0.14064067413467318,0.010827461878458658,0.0013268503005284724,0.8,0.3,5,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.3, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.8}",0.6125180857928789,0.5824724960710704,0.6822316631045773,0.6257407483228422,0.04178597815129497,65
1.0967152118682861,0.015625511932841965,0.010167201360066732,0.0003543256429678861,0.8,0.3,5,200,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.3, 'max_depth': 5, 'n_estimators': 200, 'subsample': 1.0}",0.6373545999627097,0.6237818192679034,0.6560428627965462,0.6390597606757198,0.013225591661173194,55
